Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2018-05-31,247.11000061035156,251.52000427246094,246.5800018310547,249.27999877929688,3838400,0.0,0.0,ADBE
2018-06-01,250.5500030517578,251.8300018310547,248.85000610351562,251.30999755859375,2773200,0.0,0.0,ADBE
2018-06-04,252.85000610351562,254.72000122070312,251.10000610351562,253.33999633789062,3058700,0.0,0.0,ADBE
2018-06-05,254.0,254.05999755859375,251.11000061035153,252.6999969482422,2677400,0.0,0.0,ADBE
2018-06-06,253.75,254.07000732421875,251.5,253.9499969482422,3963600,0.0,0.0,ADBE
2018-06-07,253.24000549316406,254.0500030517578,244.02999877929688,247.50999450683594,4169200,0.0,0.0,ADBE
2018-06-08,246.86000061035156,251.66000366210938,245.8300018310547,251.2100067138672,2880600,0.0,0.0,ADBE
2018-06-11,251.75999450683594,253.47999572753906,250.1300048828125,251.0,2868200,0.0,0.0,ADBE
2018-06-12,252.64999389648438,254.8000030517578,251.1300048828125,252.58999633789062,3513300,0.0,0.0,ADBE
2018-06-13,253.6999969482422,257.8999938964844,253.64999389648438,256.1300048828125,3590700,0.0,0.0,ADBE
2018-06-14,257.1499938964844,258.9100036621094,256.5799865722656,258.1000061035156,5618300,0.0,0.0,ADBE
2018-06-15,251.27999877929688,253.8699951171875,247.52000427246094,251.82000732421875,9052800,0.0,0.0,ADBE
2018-06-18,250.52000427246094,256.7699890136719,249.8000030517578,255.69000244140625,3764300,0.0,0.0,ADBE
2018-06-19,251.8300018310547,253.64999389648438,247.89999389648438,251.74000549316406,3532500,0.0,0.0,ADBE
2018-06-20,253.5,254.8000030517578,250.97999572753906,251.24000549316406,2577500,0.0,0.0,ADBE
2018-06-21,252.0,252.72000122070312,247.57000732421875,248.8300018310547,2639700,0.0,0.0,ADBE
2018-06-22,248.11000061035156,248.80000305175784,243.25999450683594,243.6300048828125,4124500,0.0,0.0,ADBE
2018-06-25,240.14999389648438,241.9600067138672,235.8699951171875,239.67999267578128,4575400,0.0,0.0,ADBE
2018-06-26,240.6699981689453,244.22999572753906,239.66000366210938,242.25,2998300,0.0,0.0,ADBE
2018-06-27,243.4600067138672,244.97999572753906,237.50999450683594,237.67999267578122,3499500,0.0,0.0,ADBE
2018-06-28,236.58999633789062,241.82000732421875,236.44000244140625,239.80999755859375,2217200,0.0,0.0,ADBE
2018-06-29,241.8800048828125,245.49000549316406,241.5,243.80999755859375,3774700,0.0,0.0,ADBE
2018-07-02,241.0500030517578,243.33000183105472,239.60000610351562,243.25999450683594,4127400,0.0,0.0,ADBE
2018-07-03,244.72000122070312,245.94000244140625,241.6699981689453,242.00999450683594,1307700,0.0,0.0,ADBE
2018-07-05,243.0399932861328,244.6199951171875,242.13999938964844,244.17999267578122,1863400,0.0,0.0,ADBE
2018-07-06,244.47999572753906,248.72000122070312,243.22000122070312,248.19000244140628,1889700,0.0,0.0,ADBE
2018-07-09,249.89999389648438,250.66000366210938,246.36999511718747,249.77000427246097,2170700,0.0,0.0,ADBE
2018-07-10,250.47000122070312,250.85000610351562,248.2100067138672,248.6300048828125,2012400,0.0,0.0,ADBE
2018-07-11,246.64999389648438,249.74000549316406,245.85000610351562,248.1199951171875,1730600,0.0,0.0,ADBE
2018-07-12,249.94000244140625,255.0500030517578,249.3800048828125,254.8699951171875,2761600,0.0,0.0,ADBE
2018-07-13,254.63999938964844,259.510009765625,253.49000549316406,258.5899963378906,3934100,0.0,0.0,ADBE
2018-07-16,258.6300048828125,259.0400085449219,253.8300018310547,254.67999267578125,2165100,0.0,0.0,ADBE
2018-07-17,252.67999267578125,258.67999267578125,250.7100067138672,258.30999755859375,2552000,0.0,0.0,ADBE
2018-07-18,257.8599853515625,260.94000244140625,256.5400085449219,259.7799987792969,2637000,0.0,0.0,ADBE
2018-07-19,258.0,259.6000061035156,256.3599853515625,257.67999267578125,1980200,0.0,0.0,ADBE
2018-07-20,258.1700134277344,259.45001220703125,256.739990234375,257.5400085449219,2221800,0.0,0.0,ADBE
2018-07-23,257.6600036621094,260.1400146484375,256.3800048828125,259.4700012207031,1935700,0.0,0.0,ADBE
2018-07-24,261.0400085449219,262.7300109863281,255.92999267578125,257.489990234375,2433300,0.0,0.0,ADBE
2018-07-25,258.3500061035156,263.5,257.8299865722656,263.1700134277344,2270300,0.0,0.0,ADBE
2018-07-26,261.9200134277344,263.8299865722656,258.489990234375,261.92999267578125,2265800,0.0,0.0,ADBE
2018-07-27,262.04998779296875,262.8599853515625,253.0500030517578,254.80999755859375,3030900,0.0,0.0,ADBE
2018-07-30,254.4199981689453,254.75999450683594,240.10000610351562,242.32000732421875,5496800,0.0,0.0,ADBE
2018-07-31,244.92999267578125,246.8000030517578,241.16000366210938,244.67999267578125,2939500,0.0,0.0,ADBE
2018-08-01,245.0,248.75999450683594,244.24000549316406,248.0099945068359,3185000,0.0,0.0,ADBE
2018-08-02,245.69999694824216,252.57000732421872,245.0,252.22000122070312,2395400,0.0,0.0,ADBE
2018-08-03,252.5800018310547,254.3899993896484,249.47999572753906,253.27999877929688,2100300,0.0,0.0,ADBE
2018-08-06,252.74000549316406,254.88000488281247,251.5399932861328,254.11000061035156,1535300,0.0,0.0,ADBE
2018-08-07,254.5,255.16000366210938,252.4499969482422,253.38999938964844,1885400,0.0,0.0,ADBE
2018-08-08,252.9499969482422,254.57000732421875,251.6300048828125,253.8300018310547,1585400,0.0,0.0,ADBE
2018-08-09,254.5500030517578,255.75,253.38999938964844,253.8000030517578,2092000,0.0,0.0,ADBE
2018-08-10,252.0,254.97000122070312,251.5,253.6999969482422,1789000,0.0,0.0,ADBE
2018-08-13,254.16000366210938,256.6000061035156,253.3000030517578,253.5399932861328,1532700,0.0,0.0,ADBE
2018-08-14,254.3800048828125,256.25,252.08999633789062,256.04998779296875,2100300,0.0,0.0,ADBE
2018-08-15,253.8000030517578,255.8300018310547,248.02000427246094,250.52000427246094,2744700,0.0,0.0,ADBE
2018-08-16,252.7899932861328,253.3000030517578,248.10000610351562,248.88999938964844,2420400,0.0,0.0,ADBE
2018-08-17,248.38999938964844,249.22000122070312,243.7100067138672,245.69999694824216,2744200,0.0,0.0,ADBE
2018-08-20,246.0800018310547,250.3699951171875,246.0,249.75999450683594,2901300,0.0,0.0,ADBE
2018-08-21,250.4499969482422,253.3300018310547,250.36000061035156,251.5,2168900,0.0,0.0,ADBE
2018-08-22,250.58999633789062,256.1600036621094,250.36000061035156,255.53999328613284,1895400,0.0,0.0,ADBE
2018-08-23,254.6199951171875,258.3299865722656,254.47000122070312,257.0,2984300,0.0,0.0,ADBE
2018-08-24,258.3299865722656,263.3900146484375,258.3299865722656,261.510009765625,3862300,0.0,0.0,ADBE
2018-08-27,263.0,263.70001220703125,259.3900146484375,262.3999938964844,2433000,0.0,0.0,ADBE
2018-08-28,263.70001220703125,263.70001220703125,261.0299987792969,263.0400085449219,1867100,0.0,0.0,ADBE
2018-08-29,263.0,269.9599914550781,262.55999755859375,268.3599853515625,3155200,0.0,0.0,ADBE
2018-08-30,266.7200012207031,269.04998779296875,265.5,266.42999267578125,2409300,0.0,0.0,ADBE
2018-08-31,265.54998779296875,266.8299865722656,263.20001220703125,263.510009765625,2944500,0.0,0.0,ADBE
2018-09-04,263.6700134277344,266.92999267578125,262.29998779296875,266.67999267578125,2158200,0.0,0.0,ADBE
2018-09-05,265.6099853515625,266.1600036621094,254.5399932861328,256.1400146484375,4203300,0.0,0.0,ADBE
2018-09-06,256.95001220703125,260.2699890136719,255.13999938964844,259.75,2810800,0.0,0.0,ADBE
2018-09-07,258.0,263.6700134277344,257.1199951171875,260.8699951171875,2894300,0.0,0.0,ADBE
2018-09-10,264.2699890136719,265.92999267578125,260.7900085449219,265.3699951171875,2633600,0.0,0.0,ADBE
2018-09-11,265.29998779296875,268.6000061035156,263.30999755859375,267.0,2866000,0.0,0.0,ADBE
2018-09-12,267.8299865722656,270.94000244140625,266.45001220703125,267.7900085449219,3365400,0.0,0.0,ADBE
2018-09-13,267.1300048828125,270.0,265.010009765625,268.5199890136719,4774000,0.0,0.0,ADBE
2018-09-14,269.0,277.6099853515625,268.0,274.69000244140625,6182500,0.0,0.0,ADBE
2018-09-17,275.0,275.7799987792969,267.67999267578125,268.25,3080900,0.0,0.0,ADBE
2018-09-18,267.6099853515625,273.7799987792969,266.6000061035156,270.7900085449219,2684400,0.0,0.0,ADBE
2018-09-19,271.1400146484375,271.95001220703125,263.6099853515625,264.8800048828125,2801400,0.0,0.0,ADBE
2018-09-20,266.4700012207031,269.5400085449219,264.19000244140625,266.3399963378906,2560200,0.0,0.0,ADBE
2018-09-21,266.1499938964844,267.5,260.239990234375,260.8800048828125,6186500,0.0,0.0,ADBE
2018-09-24,260.0,264.4599914550781,257.07000732421875,264.0899963378906,2619100,0.0,0.0,ADBE
2018-09-25,264.6000061035156,268.42999267578125,264.20001220703125,267.8399963378906,2298000,0.0,0.0,ADBE
