ID,SPEED,TRAVEL_TIME,DATA_AS_OF,LINK_ID,LINK_POINTS,BOROUGH,LINK_NAME
381,21.12,75,09/24/2024 05:34:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,21.74,73,09/24/2024 05:38:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,18.64,85,09/24/2024 05:44:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,18.64,84,09/24/2024 05:48:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,19.26,82,09/24/2024 05:54:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,19.88,80,09/24/2024 05:59:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,21.12,75,09/24/2024 06:04:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,21.12,74,09/24/2024 06:09:09 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,19.88,81,09/24/2024 06:14:09 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,20.5,77,09/24/2024 06:19:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,19.26,82,09/24/2024 06:24:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,19.88,79,09/24/2024 06:29:09 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,20.5,77,09/24/2024 06:34:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,19.88,80,09/24/2024 06:39:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,18.01,88,09/24/2024 06:44:09 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,18.01,88,09/24/2024 06:48:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,19.88,79,09/24/2024 06:54:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,21.12,74,09/24/2024 06:59:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,21.74,74,09/24/2024 07:04:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,21.12,75,09/24/2024 07:09:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,20.5,76,09/24/2024 07:14:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,21.12,75,09/24/2024 07:19:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,22.99,69,09/24/2024 07:24:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,23.61,67,09/24/2024 07:29:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,23.61,67,09/24/2024 07:34:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,31.06,51,09/24/2024 07:39:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,37.9,42,09/24/2024 07:44:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,44.11,36,09/24/2024 07:49:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,46.6,34,09/24/2024 07:54:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,44.73,35,09/24/2024 07:59:11 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,48.46,33,09/24/2024 08:04:11 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,42.25,37,09/24/2024 08:09:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
